card_name,PCA_1,PCA_2
Knight,-0.055405017,0.2381236
Archers,-0.11957656,0.053781576
Goblins,0.05680713,-0.10228101
Giant,0.089527,-0.12767538
P.E.K.K.A,0.19253191,0.06613712
Minions,0.024770847,-0.01859552
Balloon,0.031884424,0.030466028
Witch,-0.21351524,0.0069683744
Barbarians,0.053494945,-0.22421865
Golem,-0.074628875,0.12308967
Skeletons,0.08146232,0.13513984
Valkyrie,0.36241394,0.11330971
Skeleton Army,0.34465122,-0.022815403
Bomber,-0.15483628,-0.028079951
Musketeer,0.17825499,-0.058446564
Baby Dragon,0.14643043,0.01644223
Prince,-0.33692452,0.09681238
Wizard,0.04611163,-0.09349761
Mini P.E.K.K.A,-0.24324875,0.18814969
Spear Goblins,0.1760062,0.14605843
Giant Skeleton,0.16026282,-0.13803013
Hog Rider,0.2757967,0.06239328
Minion Horde,-0.30365482,0.020622903
Ice Wizard,-0.035164047,0.26913708
Royal Giant,-0.12538396,0.28864282
Guards,0.1341973,0.16226736
Princess,0.09389845,-0.22960757
Dark Prince,-0.11984933,-0.08112982
Three Musketeers,0.022856405,0.07893157
Lava Hound,-0.15821056,0.32621598
Ice Spirit,0.18851411,0.017539455
Fire Spirit,0.09408855,0.03535398
Miner,-0.21280833,-0.14369392
Sparky,0.09837725,0.0062890705
Bowler,0.0772753,0.13817286
Lumberjack,0.37220356,0.23061188
Battle Ram,-0.06082798,-0.12647045
Inferno Dragon,0.12740262,0.11339436
Ice Golem,0.11055541,-0.19267333
Mega Minion,0.0017486837,-0.13603081
Dart Goblin,0.26754907,-0.0968398
Goblin Gang,0.32859433,0.048723835
Electro Wizard,-0.17364085,0.23151837
Elite Barbarians,-0.09759248,-0.12868379
Hunter,-0.2142479,0.18183033
Executioner,-0.34103706,-0.054956693
Bandit,0.01226413,0.12896462
Royal Recruits,-0.2162835,-0.09390634
Night Witch,-0.123320244,-0.00823424
Bats,0.2511383,0.21022281
Royal Ghost,-0.18307464,0.19324285
Ram Rider,0.12394939,-0.21076956
Zappies,0.05270527,0.21059857
Rascals,0.036592115,0.26495326
Cannon Cart,0.22240363,0.046571873
Mega Knight,0.21438092,-0.07244606
Skeleton Barrel,0.100636825,0.0634655
Flying Machine,-0.12903094,0.05139148
Wall Breakers,0.05636805,0.36098656
Royal Hogs,-0.097644806,-0.13315605
Goblin Giant,0.08869761,-0.13570178
Fisherman,0.023339279,0.2695461
Magic Archer,-0.26934642,0.14507076
Electro Dragon,0.04739687,-0.2122445
Firecracker,0.07095051,-0.022090008
Mighty Miner,0.03508545,0.028911592
Elixir Golem,-0.036968026,-0.22921443
Battle Healer,-0.13667488,-0.27276117
Skeleton King,0.081998155,-0.018424638
Archer Queen,-0.25262126,0.025050288
Golden Knight,0.15269352,-0.085812755
Monk,0.11090049,-0.09522615
Skeleton Dragons,-0.040027253,0.23259172
Mother Witch,-0.15272333,0.008681904
Electro Spirit,-0.037641514,-0.19338538
Electro Giant,-0.21269748,-0.24239041
Phoenix,-0.26032805,-0.071461394
Little Prince,0.05105206,-0.14850448
Goblin Demolisher,0.019551203,-0.20232472
Goblin Machine,-0.07097172,-0.12000369
Suspicious Bush,0.10359744,-0.08975391
Goblinstein,-0.29292133,-0.18814373
Rune Giant,-0.13267152,-0.25239924
Berserker,-0.092909895,0.1377396
Boss Bandit,-0.09141922,-0.048582625
Ronin,0.015024694,0.082154095
Cannon,-0.046248786,-0.051473428
Goblin Hut,0.07545522,-0.3333285
Mortar,-0.16692391,-0.07946906
Inferno Tower,-0.084776714,-0.076853424
Bomb Tower,-0.045062464,-0.2598323
Barbarian Hut,0.03841343,-0.1915582
Tesla,-0.027881885,0.16638745
Elixir Collector,0.029796714,-0.09678098
X-Bow,-0.22853063,0.053592887
Tombstone,-0.14374776,-0.21663931
Furnace,0.20939754,0.26098523
Goblin Cage,-0.14645644,-0.16995998
Goblin Drill,-0.1281416,0.18934861
Fireball,0.05856678,0.083198935
Arrows,-0.21439466,0.1439927
Rage,0.14890906,0.13855967
Rocket,-0.061389625,-0.06862032
Goblin Barrel,0.06301829,0.23744643
Freeze,-0.05101166,-0.039490163
Mirror,0.2203855,-0.090783
Lightning,-0.0075338418,0.0890785
Zap,-0.27670634,0.12894127
Poison,0.29116273,-0.016215235
Graveyard,-0.07043833,0.11272051
The Log,0.3987524,-0.105512515
Tornado,-0.20365934,0.104964286
Clone,-0.028585212,0.09913883
Earthquake,0.053911246,-0.09379592
Barbarian Barrel,0.04161434,-0.0100634005
Heal Spirit,-0.2751246,-0.06457112
Giant Snowball,0.033273496,-0.07675005
Royal Delivery,0.28118542,-0.070950806
Void,0.06728468,-0.10399624
Goblin Curse,0.04993164,-0.020790575
Spirit Empress,-0.014975525,-0.026740951
Vines,0.02196547,-0.27978355
